mal_id,title,episodes,status,aired,duration,rating,score,scored_by,MyAnimeList_Rank,popularity,members,favorites,year,season,studios,genres
1,Cowboy Bebop,26.0,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",24 min per ep,R - 17+ (violence & profanity),8.75,1062542.0,49.0,41,2058090,89677,1998.0,spring,Sunrise,"Action, Award Winning, Sci-Fi"
5,Cowboy Bebop: The Movie,1.0,Finished Airing,"Sep 1, 2001",1 hr 55 min,R - 17+ (violence & profanity),8.38,232474.0,241.0,659,412235,1787,,,Bones,"Action, Sci-Fi"
6,Trigun,26.0,Finished Airing,"Apr 1, 1998 to Sep 30, 1998",24 min per ep,PG-13 - Teens 13 or older,8.22,401880.0,424.0,266,835084,17674,1998.0,spring,Madhouse,"Action, Adventure, Sci-Fi"
7,Witch Hunter Robin,26.0,Finished Airing,"Jul 3, 2002 to Dec 25, 2002",25 min per ep,PG-13 - Teens 13 or older,7.27,46733.0,3551.0,1993,129907,712,2002.0,summer,Sunrise,"Action, Drama, Mystery, Supernatural"
8,Beet the Vandel Buster,52.0,Finished Airing,"Sep 30, 2004 to Sep 29, 2005",23 min per ep,PG - Children,7.06,7381.0,4817.0,5887,17063,18,2004.0,fall,Toei Animation,"Action, Adventure, Fantasy"
15,Eyeshield 21,145.0,Finished Airing,"Apr 6, 2005 to Mar 19, 2008",23 min per ep,PG-13 - Teens 13 or older,7.92,93853.0,892.0,1422,196299,2128,2005.0,spring,Gallop,Sports
16,Honey and Clover,24.0,Finished Airing,"Apr 15, 2005 to Sep 27, 2005",23 min per ep,PG-13 - Teens 13 or older,7.99,87422.0,768.0,985,285848,4205,2005.0,spring,J.C.Staff,"Comedy, Drama, Romance"
17,Hungry Heart: Wild Striker,52.0,Finished Airing,"Sep 11, 2002 to Sep 10, 2003",23 min per ep,PG-13 - Teens 13 or older,7.62,14487.0,1742.0,4893,27171,243,2002.0,fall,Nippon Animation,Sports
18,Initial D Fourth Stage,24.0,Finished Airing,"Apr 17, 2004 to Feb 18, 2006",27 min per ep,PG-13 - Teens 13 or older,8.18,119986.0,484.0,1303,215667,1440,2004.0,spring,A.C.G.T.,"Action, Drama"
19,Monster,74.0,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",24 min per ep,R+ - Mild Nudity,8.89,512698.0,26.0,114,1330431,62138,2004.0,spring,Madhouse,"Drama, Mystery, Suspense"
