title,score,episodes,rank,popularity,status,genres
Frieren: Beyond Journey's End,9.27,28.0,1,104,Finished Airing,"Adventure, Award Winning, Drama, Fantasy"
Steel Ball Run: JoJo's Bizarre Adventure,9.14,,2,1366,Currently Airing,"Action, Adventure, Mystery, Supernatural"
Fullmetal Alchemist: Brotherhood,9.11,64.0,3,3,Finished Airing,"Action, Adventure, Drama, Fantasy"
Chainsaw Man – The Movie: Reze Arc,9.07,1.0,4,548,Finished Airing,"Action, Fantasy"
Steins;Gate,9.07,24.0,5,14,Finished Airing,"Drama, Sci-Fi, Suspense"
Attack on Titan Season 3 Part 2,9.05,10.0,8,20,Finished Airing,"Action, Drama, Suspense"
Gintama Season 4,9.05,51.0,7,349,Finished Airing,"Action, Comedy, Sci-Fi"
Gintama: The Very Final,9.05,1.0,6,1506,Finished Airing,"Action, Comedy, Drama, Sci-Fi"
Hunter x Hunter,9.03,148.0,9,8,Finished Airing,"Action, Adventure, Fantasy"
Gintama Season 2,9.02,51.0,11,407,Finished Airing,"Action, Comedy, Sci-Fi"
Gintama: Enchousen,9.02,13.0,12,764,Finished Airing,"Action, Comedy, Sci-Fi"
Legend of the Galactic Heroes,9.02,110.0,10,756,Finished Airing,"Drama, Sci-Fi"
One Piece Fan Letter,9.01,1.0,13,1724,Finished Airing,"Action, Adventure, Fantasy"
Gintama Season 5,8.98,12.0,15,790,Finished Airing,"Action, Comedy, Sci-Fi"
Bleach: Thousand-Year Blood War,8.98,13.0,14,335,Finished Airing,"Action, Adventure, Supernatural"
Kaguya-sama: Love is War -Ultra Romantic-,8.95,13.0,16,164,Finished Airing,"Comedy, Romance"
Fruits Basket: The Final Season,8.93,13.0,18,442,Finished Airing,"Drama, Romance, Supernatural"
Clannad: After Story,8.93,24.0,17,123,Finished Airing,"Drama, Romance"
Gintama,8.93,201.0,19,147,Finished Airing,"Action, Comedy, Sci-Fi"
A Silent Voice,8.93,1.0,20,19,Finished Airing,"Award Winning, Drama"
Code Geass: Lelouch of the Rebellion R2,8.92,25.0,21,50,Finished Airing,"Award Winning, Drama, Sci-Fi"
Re:ZERO -Starting Life in Another World- Season 4,8.91,19.0,23,1257,Currently Airing,"Drama, Fantasy, Suspense"
The Apothecary Diaries Season 2,8.91,24.0,22,518,Finished Airing,"Drama, Mystery"
March Comes In Like a Lion 2nd Season,8.9,22.0,24,612,Finished Airing,Drama
Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,8.9,1.0,25,1075,Finished Airing,"Action, Comedy, Sci-Fi"
